set_id,category,design_language_tag,persona_frame,age_band,legacy_skin_and_hair_direction,outfit_frame,scene_frame,action_frame,composition_frame,lens_group,lens_frame,shot_1_full_body_prompt,shot_2_half_body_prompt,shot_3_macro_prompt,combination_key
set-011-ring,ring,platinum high-jewelry setting,private-client jewelry buyer,60s,"deep brown skin, natural curls",boutique shopping outfit,luxury department store personal shopping suite,seated social moment,subtle negative space,normal,social media phone camera crop,"Full-body candid framework. Product DNA: ring; Asscher-cut; 5-6ct; white gold; hidden halo; platinum high-jewelry setting; wearing area: finger; silhouette: soft romantic profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: private-client jewelry buyer, 60s, deep brown skin, natural curls. Outfit direction: boutique shopping outfit. Scene frame: luxury department store personal shopping suite. Action frame: seated social moment. Composition frame: subtle negative space. Lens frame: social media phone camera crop. Low-AI feel: normal background clutter, relaxed expression, natural posture. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; Asscher-cut; 5-6ct; white gold; hidden halo; platinum high-jewelry setting; wearing area: finger; silhouette: soft romantic profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: private-client jewelry buyer, 60s, deep brown skin, natural curls. Outfit direction: boutique shopping outfit. Scene frame: luxury department store personal shopping suite. Action frame: seated social moment. Composition frame: subtle negative space. Lens frame: social media phone camera crop. Low-AI feel: normal background clutter, relaxed expression, natural posture. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; Asscher-cut; 5-6ct; white gold; hidden halo; platinum high-jewelry setting; wearing area: finger; silhouette: soft romantic profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; Asscher-cut; 5-6ct; white gold; hidden halo; platinum high-jewelry setting; wearing area: finger; silhouette: soft romantic profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction|private-client jewelry buyer|60s|deep brown skin, natural curls|boutique shopping outfit|luxury department store personal shopping suite|seated social moment|subtle negative space|social media phone camera crop"
set-012-necklace,necklace,delicate V contour,American socialite,50s,"warm beige skin, auburn hair",mature elegant evening look,members club lounge,table interaction,doorway or entrance frame,normal,ordinary compact-camera perspective,"Full-body candid framework. Product DNA: necklace; delicate line diamonds; fine everyday scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: single pendant drop; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: American socialite, 50s, warm beige skin, auburn hair. Outfit direction: mature elegant evening look. Scene frame: members club lounge. Action frame: table interaction. Composition frame: doorway or entrance frame. Lens frame: ordinary compact-camera perspective. Low-AI feel: not overly retouched, casually wealthy, phone camera look. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: necklace; delicate line diamonds; fine everyday scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: single pendant drop; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: American socialite, 50s, warm beige skin, auburn hair. Outfit direction: mature elegant evening look. Scene frame: members club lounge. Action frame: table interaction. Composition frame: doorway or entrance frame. Lens frame: ordinary compact-camera perspective. Low-AI feel: not overly retouched, casually wealthy, phone camera look. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: necklace; delicate line diamonds; fine everyday scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: single pendant drop; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; delicate line diamonds; fine everyday scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: single pendant drop; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle|American socialite|50s|warm beige skin, auburn hair|mature elegant evening look|members club lounge|table interaction|doorway or entrance frame|ordinary compact-camera perspective"
set-013-ring,ring,three-stone balance,stylish rich mom,50s,"light olive skin, dark blonde hair",old-money knitwear,townhouse entrance,relaxed profile moment,car-interior constrained framing,normal,standing-height phone photo,"Full-body candid framework. Product DNA: ring; radiant-cut; 4-5ct; platinum; six-prong solitaire; three-stone balance; wearing area: finger; silhouette: architectural center profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: stylish rich mom, 50s, light olive skin, dark blonde hair. Outfit direction: old-money knitwear. Scene frame: townhouse entrance. Action frame: relaxed profile moment. Composition frame: car-interior constrained framing. Lens frame: standing-height phone photo. Low-AI feel: imperfect composition, real skin texture, normal background clutter. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; radiant-cut; 4-5ct; platinum; six-prong solitaire; three-stone balance; wearing area: finger; silhouette: architectural center profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: stylish rich mom, 50s, light olive skin, dark blonde hair. Outfit direction: old-money knitwear. Scene frame: townhouse entrance. Action frame: relaxed profile moment. Composition frame: car-interior constrained framing. Lens frame: standing-height phone photo. Low-AI feel: imperfect composition, real skin texture, normal background clutter. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; radiant-cut; 4-5ct; platinum; six-prong solitaire; three-stone balance; wearing area: finger; silhouette: architectural center profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; radiant-cut; 4-5ct; platinum; six-prong solitaire; three-stone balance; wearing area: finger; silhouette: architectural center profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection|stylish rich mom|50s|light olive skin, dark blonde hair|old-money knitwear|townhouse entrance|relaxed profile moment|car-interior constrained framing|standing-height phone photo"
set-014-earrings,earrings,pear-shaped drop,Pilates lifestyle creator,40s,"dark skin, sculpted curls",tennis club outfit,upscale cafe street-side,holding a personal item,friend-taken framing,normal,friend-taken eye-level shot,"Full-body candid framework. Product DNA: earrings; small halo studs; medium visible scale; rose gold; cluster setting; pear-shaped drop; wearing area: ears / earlobe; silhouette: soft drop shape; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: Pilates lifestyle creator, 40s, dark skin, sculpted curls. Outfit direction: tennis club outfit. Scene frame: upscale cafe street-side. Action frame: holding a personal item. Composition frame: friend-taken framing. Lens frame: friend-taken eye-level shot. Low-AI feel: relaxed expression, natural posture, not overly retouched. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: earrings; small halo studs; medium visible scale; rose gold; cluster setting; pear-shaped drop; wearing area: ears / earlobe; silhouette: soft drop shape; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: Pilates lifestyle creator, 40s, dark skin, sculpted curls. Outfit direction: tennis club outfit. Scene frame: upscale cafe street-side. Action frame: holding a personal item. Composition frame: friend-taken framing. Lens frame: friend-taken eye-level shot. Low-AI feel: relaxed expression, natural posture, not overly retouched. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: earrings; small halo studs; medium visible scale; rose gold; cluster setting; pear-shaped drop; wearing area: ears / earlobe; silhouette: soft drop shape; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","earrings|earrings; small halo studs; medium visible scale; rose gold; cluster setting; pear-shaped drop; wearing area: ears / earlobe; silhouette: soft drop shape; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs|Pilates lifestyle creator|40s|dark skin, sculpted curls|tennis club outfit|upscale cafe street-side|holding a personal item|friend-taken framing|friend-taken eye-level shot"
set-015-ring,ring,slim pave refinement,lifestyle KOL,30s,"deep brown skin, natural curls",Pilates outfit with refined layers,home closet natural light,leaning near counter or table,hand naturally enters frame,mild,over-the-shoulder,"Full-body candid framework. Product DNA: ring; Asscher-cut; 3-4ct; rose gold; knife-edge band; slim pave refinement; wearing area: finger; silhouette: elongated elegant profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: lifestyle KOL, 30s, deep brown skin, natural curls. Outfit direction: Pilates outfit with refined layers. Scene frame: home closet natural light. Action frame: leaning near counter or table. Composition frame: hand naturally enters frame. Lens frame: over-the-shoulder. Low-AI feel: casually wealthy, phone camera look, imperfect composition. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; Asscher-cut; 3-4ct; rose gold; knife-edge band; slim pave refinement; wearing area: finger; silhouette: elongated elegant profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: lifestyle KOL, 30s, deep brown skin, natural curls. Outfit direction: Pilates outfit with refined layers. Scene frame: home closet natural light. Action frame: leaning near counter or table. Composition frame: hand naturally enters frame. Lens frame: over-the-shoulder. Low-AI feel: casually wealthy, phone camera look, imperfect composition. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; Asscher-cut; 3-4ct; rose gold; knife-edge band; slim pave refinement; wearing area: finger; silhouette: elongated elegant profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; Asscher-cut; 3-4ct; rose gold; knife-edge band; slim pave refinement; wearing area: finger; silhouette: elongated elegant profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting|lifestyle KOL|30s|deep brown skin, natural curls|Pilates outfit with refined layers|home closet natural light|leaning near counter or table|hand naturally enters frame|over-the-shoulder"
set-016-bracelet,bracelet,closed setting single diamond,wedding guest with money,30s,"fair skin, auburn hair",soft feminine satin look,bridal shower setting,hands naturally enter frame,real environment context,normal,normal 35mm perspective,"Full-body candid framework. Product DNA: bracelet; geometric diamond links; delicate wrist scale; white gold; diamond bangle; closed setting single diamond; wearing area: wrist; silhouette: chain with single focal stone; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: wedding guest with money, 30s, fair skin, auburn hair. Outfit direction: soft feminine satin look. Scene frame: bridal shower setting. Action frame: hands naturally enter frame. Composition frame: real environment context. Lens frame: normal 35mm perspective. Low-AI feel: real skin texture, normal background clutter, relaxed expression. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: bracelet; geometric diamond links; delicate wrist scale; white gold; diamond bangle; closed setting single diamond; wearing area: wrist; silhouette: chain with single focal stone; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: wedding guest with money, 30s, fair skin, auburn hair. Outfit direction: soft feminine satin look. Scene frame: bridal shower setting. Action frame: hands naturally enter frame. Composition frame: real environment context. Lens frame: normal 35mm perspective. Low-AI feel: real skin texture, normal background clutter, relaxed expression. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: bracelet; geometric diamond links; delicate wrist scale; white gold; diamond bangle; closed setting single diamond; wearing area: wrist; silhouette: chain with single focal stone; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","bracelet|bracelet; geometric diamond links; delicate wrist scale; white gold; diamond bangle; closed setting single diamond; wearing area: wrist; silhouette: chain with single focal stone; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones|wedding guest with money|30s|fair skin, auburn hair|soft feminine satin look|bridal shower setting|hands naturally enter frame|real environment context|normal 35mm perspective"
set-017-ring,ring,elevated solitaire,affluent influencer,30s,"light skin, shoulder-length bob",influencer dinner outfit,city sidewalk outside a restaurant,waiting naturally,balanced social-media crop,special,ultra wide angle,"Full-body candid framework. Product DNA: ring; radiant-cut; 2-3ct; yellow gold; tapered side stones; elevated solitaire; wearing area: finger; silhouette: clean center-stone profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: affluent influencer, 30s, light skin, shoulder-length bob. Outfit direction: influencer dinner outfit. Scene frame: city sidewalk outside a restaurant. Action frame: waiting naturally. Composition frame: balanced social-media crop. Lens frame: ultra wide angle. Low-AI feel: natural posture, not overly retouched, casually wealthy. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; radiant-cut; 2-3ct; yellow gold; tapered side stones; elevated solitaire; wearing area: finger; silhouette: clean center-stone profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: affluent influencer, 30s, light skin, shoulder-length bob. Outfit direction: influencer dinner outfit. Scene frame: city sidewalk outside a restaurant. Action frame: waiting naturally. Composition frame: balanced social-media crop. Lens frame: ultra wide angle. Low-AI feel: natural posture, not overly retouched, casually wealthy. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; radiant-cut; 2-3ct; yellow gold; tapered side stones; elevated solitaire; wearing area: finger; silhouette: clean center-stone profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; radiant-cut; 2-3ct; yellow gold; tapered side stones; elevated solitaire; wearing area: finger; silhouette: clean center-stone profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones|affluent influencer|30s|light skin, shoulder-length bob|influencer dinner outfit|city sidewalk outside a restaurant|waiting naturally|balanced social-media crop|ultra wide angle"
set-018-necklace,necklace,solitaire pendant,mature luxury shopper,50s,"olive skin, silver gray hair",quiet luxury tailoring,luxury department store personal shopping suite,conversation-in-progress,street-style vertical framing,normal,50mm shallow depth of field,"Full-body candid framework. Product DNA: necklace; station-set diamonds; fine everyday scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: short tennis necklace line; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: mature luxury shopper, 50s, olive skin, silver gray hair. Outfit direction: quiet luxury tailoring. Scene frame: luxury department store personal shopping suite. Action frame: conversation-in-progress. Composition frame: street-style vertical framing. Lens frame: 50mm shallow depth of field. Low-AI feel: phone camera look, imperfect composition, real skin texture. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: necklace; station-set diamonds; fine everyday scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: short tennis necklace line; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: mature luxury shopper, 50s, olive skin, silver gray hair. Outfit direction: quiet luxury tailoring. Scene frame: luxury department store personal shopping suite. Action frame: conversation-in-progress. Composition frame: street-style vertical framing. Lens frame: 50mm shallow depth of field. Low-AI feel: phone camera look, imperfect composition, real skin texture. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: necklace; station-set diamonds; fine everyday scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: short tennis necklace line; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; station-set diamonds; fine everyday scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: short tennis necklace line; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets|mature luxury shopper|50s|olive skin, silver gray hair|quiet luxury tailoring|luxury department store personal shopping suite|conversation-in-progress|street-style vertical framing|50mm shallow depth of field"
set-019-ring,ring,oval elongated finger effect,luxury travel shopper,50s,"dark espresso skin, sleek short hair",rich mom casual layers,luxury car interior / private transit,settling into a seat,mirror-frame composition,normal,85mm half-body portrait,"Full-body candid framework. Product DNA: ring; Asscher-cut; 6-8ct; white gold; bezel detail; oval elongated finger effect; wearing area: finger; silhouette: bold statement profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: luxury travel shopper, 50s, dark espresso skin, sleek short hair. Outfit direction: rich mom casual layers. Scene frame: luxury car interior / private transit. Action frame: settling into a seat. Composition frame: mirror-frame composition. Lens frame: 85mm half-body portrait. Low-AI feel: normal background clutter, relaxed expression, natural posture. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; Asscher-cut; 6-8ct; white gold; bezel detail; oval elongated finger effect; wearing area: finger; silhouette: bold statement profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: luxury travel shopper, 50s, dark espresso skin, sleek short hair. Outfit direction: rich mom casual layers. Scene frame: luxury car interior / private transit. Action frame: settling into a seat. Composition frame: mirror-frame composition. Lens frame: 85mm half-body portrait. Low-AI feel: normal background clutter, relaxed expression, natural posture. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; Asscher-cut; 6-8ct; white gold; bezel detail; oval elongated finger effect; wearing area: finger; silhouette: bold statement profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; Asscher-cut; 6-8ct; white gold; bezel detail; oval elongated finger effect; wearing area: finger; silhouette: bold statement profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction|luxury travel shopper|50s|dark espresso skin, sleek short hair|rich mom casual layers|luxury car interior / private transit|settling into a seat|mirror-frame composition|85mm half-body portrait"
set-020-ring,ring,oval elongated finger effect,wealthy customer,50s,"fair skin, brunette hair",boutique shopping outfit,townhouse entrance,getting ready or adjusting outfit,normal background clutter,normal,mirror selfie perspective,"Full-body candid framework. Product DNA: ring; pear-cut; 4-5ct; rose gold; cathedral profile; oval elongated finger effect; wearing area: finger; silhouette: architectural center profile; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: wealthy customer, 50s, fair skin, brunette hair. Outfit direction: boutique shopping outfit. Scene frame: townhouse entrance. Action frame: getting ready or adjusting outfit. Composition frame: normal background clutter. Lens frame: mirror selfie perspective. Low-AI feel: not overly retouched, casually wealthy, phone camera look. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; pear-cut; 4-5ct; rose gold; cathedral profile; oval elongated finger effect; wearing area: finger; silhouette: architectural center profile; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: wealthy customer, 50s, fair skin, brunette hair. Outfit direction: boutique shopping outfit. Scene frame: townhouse entrance. Action frame: getting ready or adjusting outfit. Composition frame: normal background clutter. Lens frame: mirror selfie perspective. Low-AI feel: not overly retouched, casually wealthy, phone camera look. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; pear-cut; 4-5ct; rose gold; cathedral profile; oval elongated finger effect; wearing area: finger; silhouette: architectural center profile; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; pear-cut; 4-5ct; rose gold; cathedral profile; oval elongated finger effect; wearing area: finger; silhouette: architectural center profile; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle|wealthy customer|50s|fair skin, brunette hair|boutique shopping outfit|townhouse entrance|getting ready or adjusting outfit|normal background clutter|mirror selfie perspective"
set-021-ring,ring,oval elongated finger effect,downtown cool girl with high-end taste,young adult,"warm beige skin, black hair",street-style denim with luxury coat,art gallery opening,checking phone,natural vertical social crop,mild,side angle,"Full-body candid framework. Product DNA: ring; princess-cut; 2-3ct; white gold; hidden halo; oval elongated finger effect; wearing area: finger; silhouette: clean center-stone profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: downtown cool girl with high-end taste, young adult, warm beige skin, black hair. Outfit direction: street-style denim with luxury coat. Scene frame: art gallery opening. Action frame: checking phone. Composition frame: natural vertical social crop. Lens frame: side angle. Low-AI feel: imperfect composition, real skin texture, normal background clutter. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; princess-cut; 2-3ct; white gold; hidden halo; oval elongated finger effect; wearing area: finger; silhouette: clean center-stone profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: downtown cool girl with high-end taste, young adult, warm beige skin, black hair. Outfit direction: street-style denim with luxury coat. Scene frame: art gallery opening. Action frame: checking phone. Composition frame: natural vertical social crop. Lens frame: side angle. Low-AI feel: imperfect composition, real skin texture, normal background clutter. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; princess-cut; 2-3ct; white gold; hidden halo; oval elongated finger effect; wearing area: finger; silhouette: clean center-stone profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; princess-cut; 2-3ct; white gold; hidden halo; oval elongated finger effect; wearing area: finger; silhouette: clean center-stone profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection|downtown cool girl with high-end taste|young adult|warm beige skin, black hair|street-style denim with luxury coat|art gallery opening|checking phone|natural vertical social crop|side angle"
