set_id,category,design_language_tag,persona_frame,age_band,legacy_skin_and_hair_direction,outfit_frame,scene_frame,action_frame,composition_frame,lens_group,lens_frame,shot_1_full_body_prompt,shot_2_half_body_prompt,shot_3_macro_prompt,combination_key
set-011-ring,ring,platinum high-jewelry setting,private-client jewelry buyer,late 20s,"fair skin, platinum blonde hair",tennis club outfit,boutique fitting room mirror area,seated social interaction,doorway or entrance frame,normal,social media phone camera crop,"Full-body candid image framework. Product DNA: ring; Asscher-cut; 5-6ct; white gold; hidden halo; platinum high-jewelry setting; finger; soft romantic profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: private-client jewelry buyer, late 20s, fair skin, platinum blonde hair. Outfit direction: tennis club outfit. Scene frame: boutique fitting room mirror area. Action frame: seated social interaction. Composition: doorway or entrance frame. Lens: social media phone camera crop. Low-AI feel: normal background clutter, relaxed expression, natural posture. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; Asscher-cut; 5-6ct; white gold; hidden halo; platinum high-jewelry setting; finger; soft romantic profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: private-client jewelry buyer, late 20s, fair skin, platinum blonde hair. Outfit direction: tennis club outfit. Scene frame: boutique fitting room mirror area. Action frame: seated social interaction. Composition: doorway or entrance frame. Lens: social media phone camera crop. Low-AI feel: normal background clutter, relaxed expression, natural posture. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; Asscher-cut; 5-6ct; white gold; hidden halo; platinum high-jewelry setting; finger; soft romantic profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction|private-client jewelry buyer|late 20s|fair skin, platinum blonde hair|tennis club outfit|boutique fitting room mirror area|seated social interaction|doorway or entrance frame|social media phone camera crop"
set-012-necklace,necklace,delicate V contour,Pilates lifestyle creator,50s,"deep brown skin, natural curls",boutique shopping outfit,luxury department store personal shopping suite,menu or table interaction,negative space from real setting,normal,ordinary compact-camera perspective,"Full-body candid image framework. Product DNA: necklace; delicate line diamonds; fine everyday scale; yellow gold; station setting; delicate V contour; neck / collarbone; single pendant drop; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: Pilates lifestyle creator, 50s, deep brown skin, natural curls. Outfit direction: boutique shopping outfit. Scene frame: luxury department store personal shopping suite. Action frame: menu or table interaction. Composition: negative space from real setting. Lens: ordinary compact-camera perspective. Low-AI feel: not overly retouched, casually wealthy, phone camera look. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: necklace; delicate line diamonds; fine everyday scale; yellow gold; station setting; delicate V contour; neck / collarbone; single pendant drop; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: Pilates lifestyle creator, 50s, deep brown skin, natural curls. Outfit direction: boutique shopping outfit. Scene frame: luxury department store personal shopping suite. Action frame: menu or table interaction. Composition: negative space from real setting. Lens: ordinary compact-camera perspective. Low-AI feel: not overly retouched, casually wealthy, phone camera look. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; delicate line diamonds; fine everyday scale; yellow gold; station setting; delicate V contour; neck / collarbone; single pendant drop; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle|Pilates lifestyle creator|50s|deep brown skin, natural curls|boutique shopping outfit|luxury department store personal shopping suite|menu or table interaction|negative space from real setting|ordinary compact-camera perspective"
set-013-ring,ring,three-stone balance,affluent influencer,mature adult,"medium skin, loose waves",rich mom casual layers,car back seat selfie environment,relaxed waiting moment,friend-taken framing,normal,standing-height phone photo,"Full-body candid image framework. Product DNA: ring; radiant-cut; 4-5ct; platinum; six-prong solitaire; three-stone balance; finger; architectural center profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: affluent influencer, mature adult, medium skin, loose waves. Outfit direction: rich mom casual layers. Scene frame: car back seat selfie environment. Action frame: relaxed waiting moment. Composition: friend-taken framing. Lens: standing-height phone photo. Low-AI feel: imperfect composition, real skin texture, normal background clutter. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; radiant-cut; 4-5ct; platinum; six-prong solitaire; three-stone balance; finger; architectural center profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: affluent influencer, mature adult, medium skin, loose waves. Outfit direction: rich mom casual layers. Scene frame: car back seat selfie environment. Action frame: relaxed waiting moment. Composition: friend-taken framing. Lens: standing-height phone photo. Low-AI feel: imperfect composition, real skin texture, normal background clutter. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; radiant-cut; 4-5ct; platinum; six-prong solitaire; three-stone balance; finger; architectural center profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection|affluent influencer|mature adult|medium skin, loose waves|rich mom casual layers|car back seat selfie environment|relaxed waiting moment|friend-taken framing|standing-height phone photo"
set-014-earrings,earrings,pear-shaped drop,mature luxury shopper,30s,"warm beige skin, black hair",soft feminine satin look,art gallery opening,reaching or holding object,product not centered but visible,normal,friend-taken eye-level shot,"Full-body candid image framework. Product DNA: earrings; small halo studs; medium visible scale; rose gold; cluster setting; pear-shaped drop; ears / earlobe; soft drop shape; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: mature luxury shopper, 30s, warm beige skin, black hair. Outfit direction: soft feminine satin look. Scene frame: art gallery opening. Action frame: reaching or holding object. Composition: product not centered but visible. Lens: friend-taken eye-level shot. Low-AI feel: relaxed expression, natural posture, not overly retouched. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: earrings; small halo studs; medium visible scale; rose gold; cluster setting; pear-shaped drop; ears / earlobe; soft drop shape; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: mature luxury shopper, 30s, warm beige skin, black hair. Outfit direction: soft feminine satin look. Scene frame: art gallery opening. Action frame: reaching or holding object. Composition: product not centered but visible. Lens: friend-taken eye-level shot. Low-AI feel: relaxed expression, natural posture, not overly retouched. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","earrings|earrings; small halo studs; medium visible scale; rose gold; cluster setting; pear-shaped drop; ears / earlobe; soft drop shape; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs|mature luxury shopper|30s|warm beige skin, black hair|soft feminine satin look|art gallery opening|reaching or holding object|product not centered but visible|friend-taken eye-level shot"
set-015-ring,ring,slim pave refinement,beauty or fashion KOL,60s,"deep brown skin, long straight hair",designer-level blazer styling,rooftop dinner environment,leaning near table or counter,natural imperfect crop,mild,over-the-shoulder,"Full-body candid image framework. Product DNA: ring; Asscher-cut; 3-4ct; rose gold; knife-edge band; slim pave refinement; finger; elongated elegant profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: beauty or fashion KOL, 60s, deep brown skin, long straight hair. Outfit direction: designer-level blazer styling. Scene frame: rooftop dinner environment. Action frame: leaning near table or counter. Composition: natural imperfect crop. Lens: over-the-shoulder. Low-AI feel: casually wealthy, phone camera look, imperfect composition. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; Asscher-cut; 3-4ct; rose gold; knife-edge band; slim pave refinement; finger; elongated elegant profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: beauty or fashion KOL, 60s, deep brown skin, long straight hair. Outfit direction: designer-level blazer styling. Scene frame: rooftop dinner environment. Action frame: leaning near table or counter. Composition: natural imperfect crop. Lens: over-the-shoulder. Low-AI feel: casually wealthy, phone camera look, imperfect composition. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; Asscher-cut; 3-4ct; rose gold; knife-edge band; slim pave refinement; finger; elongated elegant profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting|beauty or fashion KOL|60s|deep brown skin, long straight hair|designer-level blazer styling|rooftop dinner environment|leaning near table or counter|natural imperfect crop|over-the-shoulder"
set-016-bracelet,bracelet,closed setting single diamond,American socialite,young adult,"fair skin, brunette hair",downtown leather jacket look,home closet natural light,hand enters frame naturally,car-interior constrained crop,normal,normal 35mm perspective,"Full-body candid image framework. Product DNA: bracelet; geometric diamond links; delicate wrist scale; white gold; diamond bangle; closed setting single diamond; wrist; chain with single focal stone; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: American socialite, young adult, fair skin, brunette hair. Outfit direction: downtown leather jacket look. Scene frame: home closet natural light. Action frame: hand enters frame naturally. Composition: car-interior constrained crop. Lens: normal 35mm perspective. Low-AI feel: real skin texture, normal background clutter, relaxed expression. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: bracelet; geometric diamond links; delicate wrist scale; white gold; diamond bangle; closed setting single diamond; wrist; chain with single focal stone; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: American socialite, young adult, fair skin, brunette hair. Outfit direction: downtown leather jacket look. Scene frame: home closet natural light. Action frame: hand enters frame naturally. Composition: car-interior constrained crop. Lens: normal 35mm perspective. Low-AI feel: real skin texture, normal background clutter, relaxed expression. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","bracelet|bracelet; geometric diamond links; delicate wrist scale; white gold; diamond bangle; closed setting single diamond; wrist; chain with single focal stone; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones|American socialite|young adult|fair skin, brunette hair|downtown leather jacket look|home closet natural light|hand enters frame naturally|car-interior constrained crop|normal 35mm perspective"
set-017-ring,ring,elevated solitaire,stylish rich mom,40s,"olive skin, silver gray hair",hotel bar black dress,private event arrival area,holding small personal item,subject not always looking at camera,special,ultra wide angle,"Full-body candid image framework. Product DNA: ring; radiant-cut; 2-3ct; yellow gold; tapered side stones; elevated solitaire; finger; clean center-stone profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: stylish rich mom, 40s, olive skin, silver gray hair. Outfit direction: hotel bar black dress. Scene frame: private event arrival area. Action frame: holding small personal item. Composition: subject not always looking at camera. Lens: ultra wide angle. Low-AI feel: natural posture, not overly retouched, casually wealthy. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; radiant-cut; 2-3ct; yellow gold; tapered side stones; elevated solitaire; finger; clean center-stone profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: stylish rich mom, 40s, olive skin, silver gray hair. Outfit direction: hotel bar black dress. Scene frame: private event arrival area. Action frame: holding small personal item. Composition: subject not always looking at camera. Lens: ultra wide angle. Low-AI feel: natural posture, not overly retouched, casually wealthy. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; radiant-cut; 2-3ct; yellow gold; tapered side stones; elevated solitaire; finger; clean center-stone profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones|stylish rich mom|40s|olive skin, silver gray hair|hotel bar black dress|private event arrival area|holding small personal item|subject not always looking at camera|ultra wide angle"
set-018-necklace,necklace,solitaire pendant,downtown cool girl with high-end taste,elegant older woman,"tan skin, dark ponytail",Y2K high-end detail,airport lounge,conversation moment,full body with real environment context,normal,50mm shallow depth of field,"Full-body candid image framework. Product DNA: necklace; station-set diamonds; fine everyday scale; white gold; delicate V contour; solitaire pendant; neck / collarbone; short tennis necklace line; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: downtown cool girl with high-end taste, elegant older woman, tan skin, dark ponytail. Outfit direction: Y2K high-end detail. Scene frame: airport lounge. Action frame: conversation moment. Composition: full body with real environment context. Lens: 50mm shallow depth of field. Low-AI feel: phone camera look, imperfect composition, real skin texture. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: necklace; station-set diamonds; fine everyday scale; white gold; delicate V contour; solitaire pendant; neck / collarbone; short tennis necklace line; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: downtown cool girl with high-end taste, elegant older woman, tan skin, dark ponytail. Outfit direction: Y2K high-end detail. Scene frame: airport lounge. Action frame: conversation moment. Composition: full body with real environment context. Lens: 50mm shallow depth of field. Low-AI feel: phone camera look, imperfect composition, real skin texture. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; station-set diamonds; fine everyday scale; white gold; delicate V contour; solitaire pendant; neck / collarbone; short tennis necklace line; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets|downtown cool girl with high-end taste|elegant older woman|tan skin, dark ponytail|Y2K high-end detail|airport lounge|conversation moment|full body with real environment context|50mm shallow depth of field"
set-019-ring,ring,oval elongated finger effect,luxury travel shopper,late 20s,"dark espresso skin, sleek short hair",personal shopping suite outfit,outdoor wedding guest moment,settling into seat,close detail crop,normal,85mm half-body portrait,"Full-body candid image framework. Product DNA: ring; Asscher-cut; 6-8ct; white gold; bezel detail; oval elongated finger effect; finger; bold statement profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: luxury travel shopper, late 20s, dark espresso skin, sleek short hair. Outfit direction: personal shopping suite outfit. Scene frame: outdoor wedding guest moment. Action frame: settling into seat. Composition: close detail crop. Lens: 85mm half-body portrait. Low-AI feel: normal background clutter, relaxed expression, natural posture. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; Asscher-cut; 6-8ct; white gold; bezel detail; oval elongated finger effect; finger; bold statement profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: luxury travel shopper, late 20s, dark espresso skin, sleek short hair. Outfit direction: personal shopping suite outfit. Scene frame: outdoor wedding guest moment. Action frame: settling into seat. Composition: close detail crop. Lens: 85mm half-body portrait. Low-AI feel: normal background clutter, relaxed expression, natural posture. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; Asscher-cut; 6-8ct; white gold; bezel detail; oval elongated finger effect; finger; bold statement profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction|luxury travel shopper|late 20s|dark espresso skin, sleek short hair|personal shopping suite outfit|outdoor wedding guest moment|settling into seat|close detail crop|85mm half-body portrait"
set-020-ring,ring,oval elongated finger effect,wealthy customer,50s,"dark skin, sculpted curls",luxury athleisure,hotel breakfast lounge,outfit adjustment frame,mirror-frame composition,normal,mirror selfie perspective,"Full-body candid image framework. Product DNA: ring; pear-cut; 4-5ct; rose gold; cathedral profile; oval elongated finger effect; finger; architectural center profile; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: wealthy customer, 50s, dark skin, sculpted curls. Outfit direction: luxury athleisure. Scene frame: hotel breakfast lounge. Action frame: outfit adjustment frame. Composition: mirror-frame composition. Lens: mirror selfie perspective. Low-AI feel: not overly retouched, casually wealthy, phone camera look. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; pear-cut; 4-5ct; rose gold; cathedral profile; oval elongated finger effect; finger; architectural center profile; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: wealthy customer, 50s, dark skin, sculpted curls. Outfit direction: luxury athleisure. Scene frame: hotel breakfast lounge. Action frame: outfit adjustment frame. Composition: mirror-frame composition. Lens: mirror selfie perspective. Low-AI feel: not overly retouched, casually wealthy, phone camera look. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; pear-cut; 4-5ct; rose gold; cathedral profile; oval elongated finger effect; finger; architectural center profile; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle|wealthy customer|50s|dark skin, sculpted curls|luxury athleisure|hotel breakfast lounge|outfit adjustment frame|mirror-frame composition|mirror selfie perspective"
set-021-ring,ring,oval elongated finger effect,elegant older wealthy woman,mature adult,"tan skin, honey blonde hair",silk skirt and cashmere top,private dinner setting,checking phone naturally,hand naturally enters frame,mild,side angle,"Full-body candid image framework. Product DNA: ring; princess-cut; 2-3ct; white gold; hidden halo; oval elongated finger effect; finger; clean center-stone profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: elegant older wealthy woman, mature adult, tan skin, honey blonde hair. Outfit direction: silk skirt and cashmere top. Scene frame: private dinner setting. Action frame: checking phone naturally. Composition: hand naturally enters frame. Lens: side angle. Low-AI feel: imperfect composition, real skin texture, normal background clutter. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; princess-cut; 2-3ct; white gold; hidden halo; oval elongated finger effect; finger; clean center-stone profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: elegant older wealthy woman, mature adult, tan skin, honey blonde hair. Outfit direction: silk skirt and cashmere top. Scene frame: private dinner setting. Action frame: checking phone naturally. Composition: hand naturally enters frame. Lens: side angle. Low-AI feel: imperfect composition, real skin texture, normal background clutter. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; princess-cut; 2-3ct; white gold; hidden halo; oval elongated finger effect; finger; clean center-stone profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection|elegant older wealthy woman|mature adult|tan skin, honey blonde hair|silk skirt and cashmere top|private dinner setting|checking phone naturally|hand naturally enters frame|side angle"
set-022-necklace,necklace,delicate V contour,art collector socialite,30s,"light skin, shoulder-length bob",street-style denim with luxury coat,Pilates studio or wellness club,mirror interaction,over-the-table framing,normal,seated across-the-table shot,"Full-body candid image framework. Product DNA: necklace; floral cluster diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; neck / collarbone; collarbone line; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: art collector socialite, 30s, light skin, shoulder-length bob. Outfit direction: street-style denim with luxury coat. Scene frame: Pilates studio or wellness club. Action frame: mirror interaction. Composition: over-the-table framing. Lens: seated across-the-table shot. Low-AI feel: relaxed expression, natural posture, not overly retouched. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: necklace; floral cluster diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; neck / collarbone; collarbone line; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: art collector socialite, 30s, light skin, shoulder-length bob. Outfit direction: street-style denim with luxury coat. Scene frame: Pilates studio or wellness club. Action frame: mirror interaction. Composition: over-the-table framing. Lens: seated across-the-table shot. Low-AI feel: relaxed expression, natural posture, not overly retouched. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; floral cluster diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; neck / collarbone; collarbone line; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs|art collector socialite|30s|light skin, shoulder-length bob|street-style denim with luxury coat|Pilates studio or wellness club|mirror interaction|over-the-table framing|seated across-the-table shot"
